komentar,label,Unnamed: 2,preprocessed
"Banyak oknum, tapi yang bener malah diam! Kecewa berat!",anger,,oknum  bener diam  kecewa berat 
"Kalau nggak bisa jujur, jangan jadi polisi!",anger,,nggak jujur  polisi 
Keamanan buat siapa sih? Kok yang salah malah makin berkuasa?,anger,,aman sih  salah kuasa 
"Udah capek berharap, percuma kalau polisi masih gini-gini aja!",anger,,udah capek harap  polisi gin aja 
"Dikit-dikit damai, hukum di mana?!",anger,,dikit damai  hukum  
"Kinerja buruk tapi bangga seolah nggak ada masalah, parah sih!",anger,,kerja buruk bangga olah nggak  parah sih 
"Rakyat nggak butuh polisi pencitraan, butuh yang beneran kerja!",fear,,rakyat nggak butuh polisi citra  butuh beneran kerja 
kenapa polisi memang harus menakutkan sih?,fear,,polisi takut sih 
di mata masyarakat sebenarnya polisi itu menakutkan bukan mengayomi,fear,,mata masyarakat polisi takut ayom
saya lebih takut polisi karena polisi seperti momok yg menakutkan bagi kami para pemotor,fear,,takut polisi polisi momok yg takut motor
Ngeri banget Polisi jaman sekarang kok menakutkan,fear,,ngeri banget polisi jaman takut
"Jujur aja, sekarang kalau ketemu polisi di jalan malah deg-degan.",fear,,jujur aja  ketemu polisi jalan deg-degan 
"Bukan rasa aman yang didapat, malah takut kalau ada razia.",fear,,aman  takut razia 
"Bahkan kalau nggak salah apa-apa pun, tetap takut kalau harus berurusan sama polisi.",fear,,nggak salah  takut urus polisi 
"Gimana nggak takut, kasus bisa tiba-tiba diputarbalikkan?",fear,,gimana nggak takut  diputarbalikkan 
"Kalau ada masalah, takut lapor, nanti malah gue yang kena!",fear,, takut lapor  gue kena 
"Udah bayar pajak buat gaji mereka, tapi malah bikin rakyat takut.",fear,,udah bayar pajak gaji  bikin rakyat takut 
"Takut banget kalau ada kejadian di jalan, mau lapor pun bingung percaya atau nggak.",fear,,takut banget jalan  lapor bingung percaya nggak 
Pelayanan publik harus tetap berjalan sesuai prosedur.,netral,,layan publik jalan sesuai prosedur 
"Setiap tugas pasti ada tantangannya, termasuk di kepolisian.",netral,,tugas tantang  masuk polisi 
Semua pihak perlu bekerja sama untuk menjaga keamanan.,netral,,kerja jaga aman 
Proses hukum harus tetap berjalan sesuai aturan yang berlaku.,netral,,proses hukum jalan sesuai atur laku 
Polisi punya peran besar dalam menertibkan masyarakat.,netral,,polisi peran tertib masyarakat 
Setiap laporan pasti membutuhkan waktu untuk diproses.,netral,,lapor butuh proses 
Semua pihak pasti mengharapkan sistem yang lebih baik.,netral,,harap sistem 
"Polisi juga manusia, pasti ada yang baik dan ada yang kurang.",netral,,polisi manusia  
"Perubahan sistem butuh waktu, nggak bisa instan.",netral,,ubah sistem butuh  nggak instan 
Semua lembaga pasti punya tantangan masing-masing.,netral,,lembaga tantang 
Penegakan hukum perlu terus diperbaiki dari waktu ke waktu.,netral,,tega hukum 
Semua profesi pasti ada oknum dan ada yang benar-benar menjalankan tugasnya.,netral,,profesi oknum jalan tugas 
Masyarakat dan kepolisian harus saling mendukung demi keamanan bersama.,netral,,masyarakat polisi dukung aman 
Setiap kasus punya tingkat kesulitan yang berbeda-beda.,netral,,tingkat sulit beda 
"Tugas kepolisian nggak mudah, tapi harus tetap profesional.",netral,,tugas polisi nggak mudah  profesional 
Setiap kebijakan pasti ada pro dan kontranya.,netral,,bijak pro kontra 
Polisi tetap punya kewajiban untuk melindungi masyarakat.,netral,,polisi wajib lindung masyarakat 
Komunikasi antara masyarakat dan kepolisian harus lebih baik.,netral,,komunikasi masyarakat polisi 
"Setiap kritik pasti ada alasannya, semoga bisa jadi bahan evaluasi.",netral,,kritik alas  moga bahan evaluasi 
"Udah banyak kejadian aneh, bikin makin nggak berani macem-macem.",fear,,udah aneh  bikin nggak berani macem-macem 
Takut kalau dituduh sesuatu yang nggak kita lakuin.,fear,,takut tuduh nggak lakuin 
"Kalau ada peraturan baru, takutnya cuma buat nambah beban rakyat.",fear,,atur  takut nambah beban rakyat 
Bahkan orang yang udah punya pengacara pun masih bisa kena ancaman.,fear,,orang udah acara kena ancam 
"Takutnya kalau viral baru diproses, kalau nggak, ya ilang aja.",fear,,takut viral proses  nggak  ya ilang aja 
Ngeri kalau urusan sama polisi malah jadi lebih rumit.,fear,,ngeri urus polisi rumit 
"Banyak kejadian aneh di tahanan, bikin was-was.",fear,,aneh tahan  bikin was-was 
Takut kalau ngelapor malah ditanya ?isa damai nggak??fear,fear,,takut ngelapor  isa damai nggak   fear
"Udah jelas kasus berat, tapi takut kalau akhirnya pelaku bebas.",fear,,udah berat  takut laku bebas 
"Kalau lihat lampu strobo di belakang, rasanya udah takut duluan.",fear,,lihat lampu strobo  udah takut duluan 
"Takut kalau ada razia, nanti malah kena kasus yang aneh-aneh.",fear,,takut razia  kena aneh 
"Banyak kasus salah tangkap, bikin siapa aja bisa kena.",fear,,salah tangkap  bikin aja kena 
"Jalan malam aja takut, bukannya merasa aman malah makin waspada.",fear,,jalan malam aja takut  aman waspada 
Takut kalau ternyata yang harusnya menegakkan hukum malah bermain di belakang layar.,fear,,takut nyata tegak hukum main layar 
"Bahkan ngerekam kejadian aja bisa kena masalah, serem banget.",fear,,ngerekam aja kena  rem banget 
"Mau pasang kamera di mobil, takut malah dikira cari masalah.",fear,,pasang kamera mobil  takut cari 
Lapor kehilangan malah kena biaya tambahan? Makin takut buat lapor.,fear,,lapor hilang kena biaya  takut lapor 
Ngeri kalau ditilang tapi nggak tahu hak kita sebagai warga negara.,fear,,ngeri tilang nggak hak warga negara 
"Kalau nggak ada bukti rekaman, takut kejadian bisa dipelintir.",fear,,nggak bukti rekam  takut pelintir 
"Udah banyak orang yang jadi korban salah tangkap, makin ngeri.",fear,,udah orang korban salah tangkap  ngeri 
Takut kalau hukum bisa dipermainkan seenaknya.,fear,,takut hukum main enak 
"Lihat berita makin serem, rakyat kecil kayak nggak punya perlindungan.",fear,,lihat berita rem  rakyat kayak nggak lindung 
Bahkan kalau punya bukti kuat pun tetap takut kalau kasus bisa hilang begitu aja.,sadness,,bukti kuat takut hilang aja 
"Sedih banget, hukum di negara ini terasa nggak adil sama sekali.",sadness,,sedih banget  hukum negara asa nggak adil 
"Kepercayaan ke polisi makin lama makin hilang, kecewa banget.",sadness,,percaya polisi hilang  kecewa banget 
"Harusnya merasa aman, tapi malah was-was kalau ketemu polisi.",sadness,,aman  was-was ketemu polisi 
"Capek berharap, setiap ada kasus besar ujung-ujungnya menghilang.",sadness,,capek harap  ujung hilang 
Kepolisian memiliki tugas utama dalam menjaga ketertiban masyarakat.,netral,,polisi milik tugas utama jaga tertib masyarakat 
Evaluasi berkala terhadap kinerja aparat penting untuk perbaikan sistem.,netral,,evaluasi hadap kerja aparat sistem 
Koordinasi dengan pihak terkait dapat meningkatkan efektivitas penegakan hukum.,netral,,koordinasi kait tingkat efektivitas tega hukum 
Penyuluhan hukum kepada masyarakat dapat membantu dalam pencegahan kejahatan.,netral,,suluh hukum masyarakat bantu cegah jahat 
Teknologi dapat dimanfaatkan untuk meningkatkan efektivitas pelayanan kepolisian.,netral,,teknologi manfaat tingkat efektivitas layan polisi 
"Setiap institusi, termasuk kepolisian, perlu beradaptasi dengan perkembangan zaman.",netral,,institusi  masuk polisi  adaptasi kembang zaman 
Penegakan hukum yang adil akan menciptakan ketertiban dalam masyarakat.,netral,,tega hukum adil cipta tertib masyarakat 
Pelayanan publik yang maksimal adalah harapan semua warga terhadap kepolisian.,netral,,layan publik maksimal harap warga hadap polisi 
Transparansi dalam proses hukum dapat meningkatkan kepercayaan masyarakat.,netral,,transparansi proses hukum tingkat percaya masyarakat 
Kepolisian harus selalu mengikuti prosedur dalam setiap tindakan yang dilakukan.,netral,,polisi prosedur tindak laku 
Program peningkatan kualitas SDM kepolisian dapat membantu profesionalisme kerja.,netral,,program tingkat kualitas sdm polisi bantu profesionalisme kerja 
Respons cepat dalam menangani laporan masyarakat sangat diperlukan.,netral,,respons cepat tangan lapor masyarakat 
Koordinasi antara kepolisian dan masyarakat dapat meningkatkan keamanan bersama.,netral,,koordinasi polisi masyarakat tingkat aman 
Sistem pengaduan masyarakat yang lebih efektif dapat mempermudah penanganan kasus.,netral,,sistem adu masyarakat efektif mudah tangan 
Kepolisian perlu memberikan edukasi tentang hukum agar masyarakat lebih paham.,netral,,polisi edukasi hukum masyarakat paham 
Pembenahan sistem internal akan berdampak pada peningkatan kinerja kepolisian.,netral,,benah sistem internal dampak tingkat kerja polisi 
Penanganan kasus harus dilakukan secara transparan dan akuntabel.,netral,,tangan laku transparan akuntabel 
Setiap tindakan aparat harus sesuai dengan hukum yang berlaku.,netral,,tindak aparat sesuai hukum laku 
Peran kepolisian dalam menjaga ketertiban harus didukung oleh seluruh elemen masyarakat.,netral,,peran polisi jaga tertib dukung elemen masyarakat 
Sedih lihat korban yang nggak dapat keadilan.,sadness,,sedih lihat korban nggak adil 
"Semakin hari, semakin sulit percaya dengan aparat.",sadness,, sulit percaya aparat 
"Andai polisi benar-benar bekerja untuk rakyat, pasti keadaannya lebih baik.",sadness,,andai polisi kerja rakyat  
"Kenapa banyak kasus yang cuma dijadikan berita, tapi nggak ada tindak lanjut?",sadness,,berita  nggak tindak 
Padahal polisi itu harapan terakhir rakyat untuk mendapatkan keadilan.,sadness,,polisi harap rakyat adil 
"Hukum terasa seperti permainan, yang kuat menang, yang lemah terabaikan.",sadness,,hukum asa main  kuat menang  lemah abai 
"Lapor ke polisi malah dianggap bercanda, sakit banget rasanya.",sadness,,lapor polisi anggap canda  sakit banget 
Kenapa harus viral dulu baru mau bertindak?,sadness,,viral tindak 
Miris lihat korban kriminal yang akhirnya harus berjuang sendiri.,sadness,,miris lihat korban kriminal juang 
Semua pihak punya peran dalam menjaga ketertiban bersama.,netral,,peran jaga tertib 
Setiap profesi pasti punya tantangan dan tanggung jawabnya masing-masing.,netral,,profesi tantang tanggung 
Selalu ada ruang untuk perbaikan dalam setiap sistem.,netral,,ruang sistem 
"Keamanan adalah tanggung jawab bersama, bukan hanya kepolisian.",netral,,aman tanggung  polisi 
Evaluasi kinerja itu penting untuk meningkatkan pelayanan.,netral,,evaluasi kerja tingkat layan 
Semua orang pasti menginginkan keadilan ditegakkan dengan baik.,netral,,orang adil tegak 
Prosedur hukum harus tetap diikuti sesuai aturan yang berlaku.,netral,,prosedur hukum sesuai atur laku 
Kepolisian tetap harus bekerja sesuai tugas dan fungsinya.,netral,,polisi kerja sesuai tugas fungsi 
Semua orang berhak mendapatkan pelayanan yang baik dari kepolisian.,netral,,orang hak layan polisi 
Ketertiban masyarakat bisa tercipta kalau semua pihak bekerja sama.,netral,,tertib masyarakat cipta kerja 
Reformasi di institusi mana pun butuh proses dan waktu.,netral,,reformasi institusi butuh proses 
Teknologi bisa membantu kepolisian dalam meningkatkan kinerjanya.,netral,,teknologi bantu polisi tingkat kerja 
Komunikasi yang baik antara masyarakat dan polisi bisa meningkatkan kepercayaan.,netral,,komunikasi masyarakat polisi tingkat percaya 
Tidak semua masalah bisa langsung selesai dalam waktu singkat.,netral,,langsung selesai singkat 
Penegakan hukum harus berjalan sesuai prinsip keadilan.,netral,,tega hukum jalan sesuai prinsip adil 
Semua laporan pasti akan diproses sesuai dengan mekanisme yang ada.,netral,,lapor proses sesuai mekanisme 
Sinergi antara kepolisian dan masyarakat sangat diperlukan.,netral,,sinergi polisi masyarakat 
Keamanan dan kenyamanan masyarakat harus tetap menjadi prioritas.,netral,,aman nyaman masyarakat prioritas 
Tugas utama kepolisian adalah menjaga ketertiban dan melindungi warga.,netral,,tugas utama polisi jaga tertib lindung warga 
Kritik yang membangun bisa membantu perbaikan sistem yang ada.,netral,,kritik bangun bantu sistem 
"Berurusan sama polisi itu kayak main judi, bisa aman bisa celaka.",fear,,urus polisi kayak main judi  aman celaka 
Takut kalau ternyata nggak ada keadilan buat rakyat biasa.,fear,,takut nyata nggak adil rakyat 
"Mau rekam kejadian di jalan, tapi takut malah ditangkap.",fear,,rekam jalan  takut tangkap 
"Kalau ada masalah, nggak tahu harus lapor atau kabur aja.",fear,, nggak lapor kabur aja 
Bahkan sekadar bertanya pun takut dimarahi.,fear,,takut marah 
Takut kalau ada kejadian terus disuruh ?amai?dengan cara yang nggak bener.,fear,,takut suruh  ama  nggak bener 
"Sering dengar cerita serem soal polisi, jadi makin takut.",fear,,dengar cerita rem polisi  takut 
"Kalau ada polisi datang ke lingkungan, bukannya tenang malah panik.",fear,,polisi lingkung  tenang panik 
Takut kalau kena kasus yang bukan salah sendiri.,fear,,takut kena salah 
"Nggak berani komentar banyak, takut jadi bumerang.",fear,,nggak berani komentar  takut bumerang 
"Banyak kejadian aneh di tahanan, bikin was-was banget.",fear,,aneh tahan  bikin was-was banget 
"Kalau ditilang, takut malah jadi panjang urusannya.",fear,,tilang  takut urus 
Serem kalau ketemu polisi yang mukanya galak.,fear,,rem ketemu polisi muka galak 
"Kalau ada laporan hilang, takut malah disuruh bayar.",fear,,lapor hilang  takut suruh bayar 
"Mau lapor kasus, tapi takut nggak diproses.",fear,,lapor  takut nggak proses 
"Kalau ada operasi polisi di jalan, pasti deg-degan sendiri.",fear,,operasi polisi jalan  deg-degan 
"Nggak tahu mana yang bisa dipercaya, jadi takut berurusan.",fear,,nggak percaya  takut urus 
Makin takut kalau lihat berita polisi korupsi.,fear,,takut lihat berita polisi korupsi 
Takut kalau nanti malah jadi korban salah tangkap.,fear,,takut korban salah tangkap 
"Kalau ada polisi patroli, perasaan malah nggak tenang.",fear,,polisi patroli  asa nggak tenang 
"Hukum harusnya melindungi, tapi takutnya malah sebaliknya.",fear,,hukum lindung  takut 
Takut kalau ada aturan baru yang malah memberatkan rakyat.,fear,,takut atur berat rakyat 
"Jangan sampai ada kejadian di sekitar kita, takut kena imbas.",fear,, takut kena imbas 
"Kalau lihat polisi ngobrol sama preman, makin bingung harus percaya siapa.",fear,,lihat polisi ngobrol preman  bingung percaya 
"Serem kalau ada polisi bawa senjata, bukannya merasa aman malah tegang.",fear,,rem polisi bawa senjata  aman tegang 
"Banyak kejadian yang nggak masuk akal, bikin takut sendiri.",fear,,nggak masuk akal  bikin takut 
Nggak ngerti lagi kalau sampai ketemu polisi yang main ancam.,fear,,nggak ngerti ketemu polisi main ancam 
Takut kalau ada orang yang salah malah dipaksa ngaku.,fear,,takut orang salah paksa ngaku 
"Banyak kasus besar tiba-tiba hilang, serem banget sistemnya.",fear,,hilang  rem banget sistem 
"Kalau viral baru diproses, kalau nggak ya dibiarkan, bikin ngeri.",fear,,viral proses  nggak ya biar  bikin ngeri 
Mau protes tapi takut ada akibatnya.,fear,,protes takut akibat 
Takut kalau ketahuan ngerekam kejadian penting.,fear,,takut ngerekam 
Kepolisian memiliki peran penting dalam menjaga keamanan dan ketertiban.,netral,,polisi milik peran jaga aman tertib 
Pelayanan yang cepat dan efisien dapat meningkatkan kepercayaan masyarakat.,netral,,layan cepat efisien tingkat percaya masyarakat 
Setiap laporan yang masuk harus diproses sesuai prosedur hukum yang berlaku.,netral,,lapor masuk proses sesuai prosedur hukum laku 
Koordinasi antara kepolisian dan masyarakat dapat menciptakan lingkungan yang lebih aman.,netral,,koordinasi polisi masyarakat cipta lingkung aman 
Teknologi dapat membantu meningkatkan efektivitas kinerja kepolisian dalam melayani publik.,netral,,teknologi bantu tingkat efektivitas kerja polisi layan publik 
Sosialisasi aturan hukum kepada masyarakat bisa mencegah pelanggaran sejak dini.,netral,,sosialisasi atur hukum masyarakat cegah langgar 
Evaluasi berkala terhadap kinerja kepolisian penting untuk meningkatkan profesionalisme.,netral,,evaluasi hadap kerja polisi tingkat profesionalisme 
Penyuluhan keamanan dapat membantu meningkatkan kesadaran hukum di masyarakat.,netral,,suluh aman bantu tingkat sadar hukum masyarakat 
Penguatan sistem pengawasan internal dapat meningkatkan transparansi kepolisian.,netral,,kuat sistem awas internal tingkat transparansi polisi 
Pelayanan publik yang optimal harus menjadi prioritas utama kepolisian.,netral,,layan publik optimal prioritas utama polisi 
Setiap tindakan kepolisian harus sesuai dengan kode etik dan standar prosedur yang berlaku.,netral,,tindak polisi sesuai kode etik standar prosedur laku 
Kepolisian yang responsif dapat membantu penyelesaian masalah hukum lebih cepat.,netral,,polisi responsif bantu selesai hukum cepat 
Kolaborasi dengan berbagai instansi dapat meningkatkan efektivitas penegakan hukum.,netral,,kolaborasi instansi tingkat efektivitas tega hukum 
Transparansi dalam proses penanganan kasus dapat mencegah munculnya spekulasi negatif.,netral,,transparansi proses tangan cegah muncul spekulasi negatif 
Pembinaan berkelanjutan terhadap personel kepolisian diperlukan untuk menjaga profesionalisme.,netral,,bina hadap personel polisi jaga profesionalisme 
Kepolisian harus tetap menjalankan tugasnya secara independen tanpa intervensi pihak lain.,netral,,polisi jalan tugas independen intervensi 
Pelaporan digital dapat membantu masyarakat mendapatkan akses lebih cepat terhadap layanan kepolisian.,netral,,lapor digital bantu masyarakat akses cepat hadap layan polisi 
Pelibatan komunitas dalam menjaga keamanan dapat membantu tugas kepolisian.,netral,,libat komunitas jaga aman bantu tugas polisi 
Keamanan dan ketertiban dapat terjaga dengan sinergi antara kepolisian dan masyarakat.,netral,,aman tertib jaga sinergi polisi masyarakat 
Kepolisian memiliki tanggung jawab besar dalam menjaga stabilitas sosial dan keamanan nasional.,netral,,polisi milik tanggung jaga stabilitas sosial aman nasional 
"Kalau nggak viral, nggak bakal diurus! Gila!",anger,,nggak viral  nggak urus  gila 
Mau lapor malah dipingpong ke sana-sini! Ngapain ada polisi?,anger,,lapor pingpong sana-sini  ngapain polisi 
"Lihat polisi, bukannya tenang malah langsung emosi!",anger,,lihat polisi  tenang langsung emosi 
Hukum di negeri ini cuma untuk rakyat kecil!,anger,,hukum negeri rakyat 
"Yang punya duit aman, yang nggak punya jadi korban!",anger,,duit aman  nggak korban 
Mereka kerja buat rakyat atau buat bos-bosnya doang?,anger,,kerja rakyat bos doang 
Capek lihat drama hukum di negara ini!,anger,,capek lihat drama hukum negara 
Tiap hari ada aja berita soal polisi bermasalah!,anger,,aja berita polisi 
"Kalau rakyat yang salah langsung ditindak, kalau mereka? Bebas!",anger,,rakyat salah langsung tindak   bebas 
"Udah rusak sistemnya, nggak bakal bisa dipercaya lagi!",anger,,udah rusak sistem  nggak percaya 
Bosan lihat mereka sok bener di depan kamera!,anger,,bosan lihat sok bener kamera 
"Nyebelin banget kalau ada kasus gede, ujung-ujungnya hilang!",anger,,nyebelin banget gede  ujung hilang 
Kenapa sih mereka nggak malu sama seragamnya sendiri?,anger,,sih nggak malu seragam 
Mending mereka belajar dulu arti kata "adil"!,anger,,mending ajar arti  adil  
"Yang korup bebas, yang jujur malah dipersulit!",anger,,korup bebas  jujur sulit 
"Kalau nggak ada uang atau koneksi, jangan harap dapat keadilan!",anger,,nggak uang koneksi  harap adil 
"Kasus kelar bukan karena kerja keras polisi, tapi karena rakyat marah!",anger,,kelar kerja keras polisi  rakyat marah 
Makin nggak ada rasa hormat sama mereka!,anger,,nggak hormat 
"Heran, kerjaannya ngurusin rakyat kecil doang!",anger,,heran  kerja ngurusin rakyat doang 
Jangan sok suci kalau kelakuan masih kayak preman!,anger,,sok suci laku kayak preman 
Nggak ada perubahan! Masalahnya itu-itu aja tiap tahun!,anger,,nggak ubah  aja 
"Seragam bukan buat gaya-gayaan, tapi buat kerja bener!",anger,,seragam gaya  kerja bener 
"Hukum tajam ke bawah, tumpul ke atas! Udah muak denger itu terus!",anger,,hukum tajam  tumpul  udah muak denger 
Bisa nggak sih kerja pakai hati nurani?,anger,,nggak sih kerja pakai hati nurani 
"Orang bayar pajak buat gaji mereka, tapi kerjaannya bikin rakyat sengsara!",anger,,orang bayar pajak gaji  kerja bikin rakyat sengsara 
Rakyat yang benar malah dianggap musuh!,anger,,rakyat anggap musuh 
"Kalau kerja cuma buat kepentingan sendiri, mending mundur aja!",anger,,kerja  mending mundur aja 
"Kesel banget! Bukannya menangkap yang salah, malah main gertak rakyat!",anger,,kesel banget  tangkap salah  main gertak rakyat 
Susah banget cari polisi yang benar-benar jujur!,anger,,susah banget cari polisi jujur 
Apa susahnya kerja bener tanpa nyari untung pribadi?,anger,,susah kerja bener nyari untung pribadi 
Sistemnya emang udah bobrok dari atas sampai bawah!,anger,,sistem emang udah bobrok 
Polisi macam apa yang malah lindungi kriminal?,anger,,polisi lindung kriminal 
Nggak malu sama sumpah jabatan sendiri?,anger,,nggak malu sumpah jabat 
"Janji tinggal janji, prakteknya nol besar!",anger,,janji tinggal janji  praktek nol 
"Kalau nggak ada rakyat, kalian bukan siapa-siapa! Jangan sok berkuasa!",anger,,nggak rakyat   sok kuasa 
Udah bosen denger alasan klasik mereka!,anger,,udah bosen denger alas klasik 
Gaji gede tapi kelakuan nggak ada yang bisa dibanggain!,anger,,gaji gede laku nggak dibanggain 
"Mau percaya, tapi tiap hari selalu ada kasus baru!",anger,,percaya  
"Kalau udah ketahuan salah, ngelesnya lebih jago dari atlet lari!",anger,,udah salah  ngelesnya jago atlet lari 
Buat apa punya polisi kalau rakyat tetap harus berjuang sendiri?,anger,,polisi rakyat juang 
Bener-bener bikin naik darah kalau denger kasus baru tiap hari!,anger,,bener-bener bikin darah denger 
"Harusnya mereka jaga nama baik institusi, bukan malah bikin malu!",anger,,jaga nama institusi  bikin malu 
"Seragam mereka harusnya jadi simbol keadilan, bukan simbol ketakutan!",anger,,seragam simbol adil  simbol takut 
Nggak ada yang berubah! Tiap tahun sama aja bobroknya!,anger,,nggak ubah  aja bobrok 
Rakyat udah muak dipermainkan kayak begini terus!,anger,,rakyat udah muak main kayak 
"Seriusan, kerja kalian tuh buat rakyat, bukan buat nyari untung sendiri!",anger,,serius  kerja tuh rakyat  nyari untung 
"Kalau nggak bisa kasih keadilan, ya mundur aja! Jangan sok berkuasa!",anger,,nggak kasih adil  ya mundur aja  sok kuasa 
Kenapa sih selalu ada alasan kalau disuruh kerja bener? Bukannya itu tugas kalian?,anger,,sih alas suruh kerja bener  tugas 
"Udah tau salah, masih aja sok bener! Gimana rakyat mau percaya?",anger,,udah tau salah  aja sok bener  gimana rakyat percaya 
Mereka kerja buat siapa sih? Kok yang benar malah ditekan?,anger,,kerja sih  tekan 
"Jangan heran kalau rakyat kehilangan kepercayaan, kelakuan kalian sendiri yang bikin!",anger,,heran rakyat hilang percaya  laku bikin 
"Hukum di negeri ini lebih mirip dagangan, siapa yang bayar lebih, dia yang menang!",anger,,hukum negeri dagang  bayar  menang 
"Kalau ada kasus besar, pasti ada aja yang tiba-tiba ?ilang jejak? udah capek liat dramanya!",anger,, aja  ilang jejak  udah capek liat drama 
"Jangan cuma garang kalau ngurusin rakyat kecil, berani nggak lawan yang di atas?",anger,,garang ngurusin rakyat  berani nggak lawan 
"Bukan cuma sekali dua kali, tapi tiap hari ada aja kasus yang bikin naik darah!",anger,,kali  aja bikin darah 
"Kenapa kalau rakyat yang salah langsung dihukum, tapi kalau oknum polisi yang salah malah dilindungi?",anger,,rakyat salah langsung hukum  oknum polisi salah lindung 
"Lapor kehilangan malah dipersulit, padahal itu kerjaan mereka!",anger,,lapor hilang sulit  kerja 
"Aneh, kalau ada orang kaya yang kena kasus, tiba-tiba hukum bisa lunak banget!",anger,,aneh  orang kaya kena  hukum lunak banget 
"Mereka sok paling benar, tapi kerjaannya malah banyak merugikan rakyat!",anger,,sok  kerja rugi rakyat 
"Setiap ada kasus besar, rakyat selalu dibiarkan menunggu keadilan yang nggak pernah datang!",anger,, rakyat biar tunggu adil nggak 
"Kerja kalian tuh harusnya ngelindungin rakyat, bukan malah nambahin masalah!",anger,,kerja tuh ngelindungin rakyat  nambahin 
"Jangan mentang-mentang berseragam, jadi merasa bisa ngatur segalanya seenaknya!",anger,,mentang seragam  ngatur enak 
"Dulu percaya sama hukum, sekarang cuma bisa pasrah karena sistemnya udah rusak!",anger,,percaya hukum  pasrah sistem udah rusak 
Percuma ada hukum kalau ujung-ujungnya bisa dibeli sama yang punya duit!,anger,,hukum ujung beli duit 
"Bukannya bantu rakyat, malah bikin ribet setiap ada masalah!",anger,,bantu rakyat  bikin ribet 
"Mereka seharusnya jadi harapan, tapi justru bikin ketakutan!",anger,,harap  bikin takut 
Lihat berita soal mereka tiap hari bikin makin hilang harapan sama keadilan!,anger,,lihat berita bikin hilang harap adil 
"Beneran deh, kalau nggak viral dulu, polisi nggak bakal peduli sama kasus rakyat kecil!",anger,,beneran deh  nggak viral  polisi nggak peduli rakyat 
"Sumpah jabatan mereka cuma formalitas doang, buktinya kelakuan tetap seenaknya!",anger,,sumpah jabat formalitas doang  bukti laku enak 
"Harusnya yang berseragam itu bikin tenang, bukan malah bikin curiga!",anger,,seragam bikin tenang  bikin curiga 
"Seragam bukan buat gaya-gayaan, tapi buat benerin sistem hukum yang udah bobrok ini!",anger,,seragam gaya  benerin sistem hukum udah bobrok 
"Paling jago kalau urusan ngasih alasan, tapi kalau kerja bener malah nggak kelihatan!",anger,,jago urus ngasih alas  kerja bener nggak lihat 
"Setiap ada kasus gede, ujung-ujungnya rakyat disuruh ?abar? tapi nggak ada hasilnya!",anger,,gede  ujung rakyat suruh  abar  nggak hasil 
"Banyak yang berbuat salah, tapi hanya beberapa yang kena hukuman! Keadilan apa ini?",anger,,salah  kena hukum  adil 
"Kalau kasusnya melibatkan pejabat, pasti deh tiba-tiba jadi lambat prosesnya!",anger,,libat jabat  deh lambat proses 
"Sumpah, heran banget! Gimana sih bisa mereka tetap santai setelah bikin rakyat sengsara?",anger,,sumpah  heran banget  gimana sih santai bikin rakyat sengsara 
"Kalau rakyat melawan, dibilang melanggar hukum. Kalau mereka yang melanggar, cuma dikasih sanksi ringan!",anger,,rakyat lawan  bilang langgar hukum  langgar  kasih sanksi ringan 
"Bilangnya mau reformasi, tapi nyatanya masih bobrok juga!",anger,,bilang reformasi  nyata bobrok 
"Kalau lapor kasus malah disuruh ?amai?aja, jadi buat apa ada polisi?",anger,,lapor suruh  ama  aja  polisi 
"Kenapa setiap ada kasus, pasti ada drama ?ilangnya barang bukti?atau ?ersangka kabur?",anger,, drama  ilangnya barang bukti   ersangka kabur 
Susah percaya sama sistem hukum kalau yang jalankan aja nggak bisa bersikap adil!,anger,,susah percaya sistem hukum jalan aja nggak sikap adil 
"Makin lama, makin kelihatan kalau hukum di negeri ini cuma buat mereka yang berduit!",anger,, lihat hukum negeri duit 
Apa mereka nggak malu tiap hari ada berita buruk tentang kepolisian?,anger,,nggak malu berita buruk polisi 
Sebenarnya tugas mereka apa sih? Karena yang mereka lakukan nggak sesuai sama yang diharapkan rakyat!,anger,,tugas sih  laku nggak sesuai harap rakyat 
"Lihat seragam mereka sekarang malah bikin marah, bukan bangga!",anger,,lihat seragam bikin marah  bangga 
"Setiap ada rakyat yang cari keadilan, malah mereka yang ditekan! Gila sih ini!",anger,,rakyat cari adil  tekan  gila sih 
"Kalau mau dihormati, kerja yang bener! Jangan cuma modal seragam!",anger,,hormat  kerja bener  modal seragam 
"Gaji dari pajak rakyat, tapi malah ngerugiin rakyat! Ironis banget!",anger,,gaji pajak rakyat  ngerugiin rakyat  ironis banget 
Nggak ada harapan sama hukum kalau aparatnya masih banyak yang main belakang!,anger,,nggak harap hukum aparat main 
"Dunia hukum di sini kayak panggung sandiwara, yang jago akting pasti menang!",anger,,dunia hukum kayak panggung sandiwara  jago akting menang 
"Kalau rakyat yang salah langsung diadili, tapi kalau mereka sendiri yang salah, prosesnya kayak keong!",anger,,rakyat salah langsung adil  salah  proses kayak keong 
"Jangan cuma pencitraan di media, rakyat butuh bukti nyata!",anger,,citra media  rakyat butuh bukti nyata 
Mereka yang harusnya jadi contoh malah jadi yang paling buruk kelakuannya!,anger,,contoh buruk laku 
