text,emotion,preprocessed_result
"Jujur aja, sekarang kalau ketemu polisi di jalan malah deg-degan.",fear,jujur aja temu polisi jalan deg degan
"Bukan rasa aman yang didapat, malah takut kalau ada razia.",fear,bukan aman takut razia
"Bahkan kalau nggak salah apa-apa pun, tetap takut kalau harus berurusan sama polisi.",fear,tidak salah takut urus polisi
"Gimana nggak takut, kasus bisa tiba-tiba diputarbalikkan?",fear,gimana tidak takut diputarbalikkan
"Kalau ada masalah, takut lapor, nanti malah gue yang kena!",fear,masalah takut lapor gue kena
"Udah bayar pajak buat gaji mereka, tapi malah bikin rakyat takut.",fear,udah bayar pajak gaji bikin rakyat takut
"Takut banget kalau ada kejadian di jalan, mau lapor pun bingung percaya atau nggak.",fear,takut banget jadi jalan lapor bingung percaya tidak
Pelayanan publik harus tetap berjalan sesuai prosedur.,netral,layan publik jalan suai prosedur
"Setiap tugas pasti ada tantangannya, termasuk di kepolisian.",netral,tugas tantang polisi
Semua pihak perlu bekerja sama untuk menjaga keamanan.,netral,jaga aman
Proses hukum harus tetap berjalan sesuai aturan yang berlaku.,netral,proses hukum jalan suai atur laku
Polisi punya peran besar dalam menertibkan masyarakat.,netral,polisi peran tertib masyarakat
Setiap laporan pasti membutuhkan waktu untuk diproses.,netral,lapor butuh proses
Semua pihak pasti mengharapkan sistem yang lebih baik.,netral,harap sistem
"Polisi juga manusia, pasti ada yang baik dan ada yang kurang.",netral,polisi manusia
"Perubahan sistem butuh waktu, nggak bisa instan.",netral,ubah sistem butuh tidak instan
Semua lembaga pasti punya tantangan masing-masing.,netral,lembaga tantang
Penegakan hukum perlu terus diperbaiki dari waktu ke waktu.,netral,tegak hukum baik
Semua profesi pasti ada oknum dan ada yang benar-benar menjalankan tugasnya.,netral,profesi oknum jalan tugas
Masyarakat dan kepolisian harus saling mendukung demi keamanan bersama.,netral,masyarakat polisi dukung aman
Setiap kasus punya tingkat kesulitan yang berbeda-beda.,netral,tingkat sulit beda beda
"Tugas kepolisian nggak mudah, tapi harus tetap profesional.",netral,tugas polisi tidak mudah profesional
Setiap kebijakan pasti ada pro dan kontranya.,netral,bijak pro kontra
Polisi tetap punya kewajiban untuk melindungi masyarakat.,netral,polisi wajib lindung masyarakat
Komunikasi antara masyarakat dan kepolisian harus lebih baik.,netral,komunikasi masyarakat polisi
"Setiap kritik pasti ada alasannya, semoga bisa jadi bahan evaluasi.",netral,kritik alas moga bahan evaluasi
"Udah banyak kejadian aneh, bikin makin nggak berani macem-macem.",fear,udah jadi aneh bikin tidak berani macem
Takut kalau dituduh sesuatu yang nggak kita lakuin.,fear,takut tuduh tidak laku
"Kalau ada peraturan baru, takutnya cuma buat nambah beban rakyat.",fear,atur takut tambah beban rakyat
Bahkan orang yang udah punya pengacara pun masih bisa kena ancaman.,fear,orang udah acara kena ancam
"Takutnya kalau viral baru diproses, kalau nggak, ya ilang aja.",fear,takut viral proses tidak iya ilang aja
Ngeri kalau urusan sama polisi malah jadi lebih rumit.,fear,ngeri urus polisi rumit
"Banyak kejadian aneh di tahanan, bikin was-was.",fear,jadi aneh tahan bikin was
Takut kalau ngelapor malah ditanya ?isa damai nggak??fear,fear,takut lapor isa damai tidak fear
"Udah jelas kasus berat, tapi takut kalau akhirnya pelaku bebas.",fear,udah berat takut laku bebas
"Kalau lihat lampu strobo di belakang, rasanya udah takut duluan.",fear,lihat lampu strobo udah takut dulu
"Takut kalau ada razia, nanti malah kena kasus yang aneh-aneh.",fear,takut razia kena aneh
"Banyak kasus salah tangkap, bikin siapa aja bisa kena.",fear,salah tangkap bikin aja kena
"Jalan malam aja takut, bukannya merasa aman malah makin waspada.",fear,jalan malam aja takut aman waspada
Takut kalau ternyata yang harusnya menegakkan hukum malah bermain di belakang layar.,fear,takut tegak hukum main layar
"Bahkan ngerekam kejadian aja bisa kena masalah, serem banget.",fear,rekam jadi aja kena masalah seram banget
"Mau pasang kamera di mobil, takut malah dikira cari masalah.",fear,pasang kamera mobil takut cari masalah
Lapor kehilangan malah kena biaya tambahan? Makin takut buat lapor.,fear,lapor hilang kena biaya tambah takut lapor
Ngeri kalau ditilang tapi nggak tahu hak kita sebagai warga negara.,fear,ngeri tilang tidak hak warga negara
"Kalau nggak ada bukti rekaman, takut kejadian bisa dipelintir.",fear,tidak bukti rekam takut jadi pelintir
"Udah banyak orang yang jadi korban salah tangkap, makin ngeri.",fear,udah orang korban salah tangkap ngeri
Takut kalau hukum bisa dipermainkan seenaknya.,fear,takut hukum main
"Lihat berita makin serem, rakyat kecil kayak nggak punya perlindungan.",fear,lihat berita seram rakyat kayak tidak lindung
Bahkan kalau punya bukti kuat pun tetap takut kalau kasus bisa hilang begitu aja.,sadness,bukti kuat takut hilang aja
"Sedih banget, hukum di negara ini terasa nggak adil sama sekali.",sadness,sedih banget hukum negara tidak adil
"Kepercayaan ke polisi makin lama makin hilang, kecewa banget.",sadness,percaya polisi hilang kecewa banget
"Harusnya merasa aman, tapi malah was-was kalau ketemu polisi.",sadness,aman was temu polisi
"Capek berharap, setiap ada kasus besar ujung-ujungnya menghilang.",sadness,capek harap ujung ujung hilang
Kepolisian memiliki tugas utama dalam menjaga ketertiban masyarakat.,netral,polisi milik tugas utama jaga tertib masyarakat
Evaluasi berkala terhadap kinerja aparat penting untuk perbaikan sistem.,netral,evaluasi kala kinerja aparat baik sistem
Koordinasi dengan pihak terkait dapat meningkatkan efektivitas penegakan hukum.,netral,koordinasi kait tingkat efektivitas tegak hukum
Penyuluhan hukum kepada masyarakat dapat membantu dalam pencegahan kejahatan.,netral,suluh hukum masyarakat bantu cegah jahat
Teknologi dapat dimanfaatkan untuk meningkatkan efektivitas pelayanan kepolisian.,netral,teknologi manfaat tingkat efektivitas layan polisi
"Setiap institusi, termasuk kepolisian, perlu beradaptasi dengan perkembangan zaman.",netral,institusi polisi adaptasi kembang zaman
Penegakan hukum yang adil akan menciptakan ketertiban dalam masyarakat.,netral,tegak hukum adil cipta tertib masyarakat
Pelayanan publik yang maksimal adalah harapan semua warga terhadap kepolisian.,netral,layan publik maksimal harap warga polisi
Transparansi dalam proses hukum dapat meningkatkan kepercayaan masyarakat.,netral,transparansi proses hukum tingkat percaya masyarakat
Kepolisian harus selalu mengikuti prosedur dalam setiap tindakan yang dilakukan.,netral,polisi ikut prosedur tindak
Program peningkatan kualitas SDM kepolisian dapat membantu profesionalisme kerja.,netral,program tingkat kualitas sdm polisi bantu profesionalisme kerja
Respons cepat dalam menangani laporan masyarakat sangat diperlukan.,netral,respons cepat tangan lapor masyarakat
Koordinasi antara kepolisian dan masyarakat dapat meningkatkan keamanan bersama.,netral,koordinasi polisi masyarakat tingkat aman
Sistem pengaduan masyarakat yang lebih efektif dapat mempermudah penanganan kasus.,netral,sistem adu masyarakat efektif mudah tangan
Kepolisian perlu memberikan edukasi tentang hukum agar masyarakat lebih paham.,netral,polisi edukasi hukum masyarakat paham
Pembenahan sistem internal akan berdampak pada peningkatan kinerja kepolisian.,netral,benah sistem internal dampak tingkat kinerja polisi
Penanganan kasus harus dilakukan secara transparan dan akuntabel.,netral,tangan transparan akuntabel
Setiap tindakan aparat harus sesuai dengan hukum yang berlaku.,netral,tindak aparat suai hukum laku
Peran kepolisian dalam menjaga ketertiban harus didukung oleh seluruh elemen masyarakat.,netral,peran polisi jaga tertib dukung elemen masyarakat
Sedih lihat korban yang nggak dapat keadilan.,sadness,sedih lihat korban tidak adil
"Semakin hari, semakin sulit percaya dengan aparat.",sadness,sulit percaya aparat
"Andai polisi benar-benar bekerja untuk rakyat, pasti keadaannya lebih baik.",sadness,andai polisi rakyat ada
"Kenapa banyak kasus yang cuma dijadikan berita, tapi nggak ada tindak lanjut?",sadness,jadi berita tidak tindak
Padahal polisi itu harapan terakhir rakyat untuk mendapatkan keadilan.,sadness,polisi harap rakyat adil
"Hukum terasa seperti permainan, yang kuat menang, yang lemah terabaikan.",sadness,hukum main kuat menang lemah abai
"Lapor ke polisi malah dianggap bercanda, sakit banget rasanya.",sadness,lapor polisi anggap canda sakit banget
Kenapa harus viral dulu baru mau bertindak?,sadness,viral tindak
Miris lihat korban kriminal yang akhirnya harus berjuang sendiri.,sadness,miris lihat korban kriminal juang
Semua pihak punya peran dalam menjaga ketertiban bersama.,netral,peran jaga tertib
Setiap profesi pasti punya tantangan dan tanggung jawabnya masing-masing.,netral,profesi tantang tanggung
Selalu ada ruang untuk perbaikan dalam setiap sistem.,netral,ruang baik sistem
"Keamanan adalah tanggung jawab bersama, bukan hanya kepolisian.",netral,aman tanggung bukan polisi
Evaluasi kinerja itu penting untuk meningkatkan pelayanan.,netral,evaluasi kinerja tingkat layan
Semua orang pasti menginginkan keadilan ditegakkan dengan baik.,netral,orang adil tegak
Prosedur hukum harus tetap diikuti sesuai aturan yang berlaku.,netral,prosedur hukum ikut suai atur laku
Kepolisian tetap harus bekerja sesuai tugas dan fungsinya.,netral,polisi suai tugas fungsi
Semua orang berhak mendapatkan pelayanan yang baik dari kepolisian.,netral,orang hak layan polisi
Ketertiban masyarakat bisa tercipta kalau semua pihak bekerja sama.,netral,tertib masyarakat cipta
Reformasi di institusi mana pun butuh proses dan waktu.,netral,reformasi institusi butuh proses
Teknologi bisa membantu kepolisian dalam meningkatkan kinerjanya.,netral,teknologi bantu polisi tingkat kinerja
Komunikasi yang baik antara masyarakat dan polisi bisa meningkatkan kepercayaan.,netral,komunikasi masyarakat polisi tingkat percaya
Tidak semua masalah bisa langsung selesai dalam waktu singkat.,netral,tidak masalah langsung selesai singkat
Penegakan hukum harus berjalan sesuai prinsip keadilan.,netral,tegak hukum jalan suai prinsip adil
Semua laporan pasti akan diproses sesuai dengan mekanisme yang ada.,netral,lapor proses suai mekanisme
Sinergi antara kepolisian dan masyarakat sangat diperlukan.,netral,sinergi polisi masyarakat
Keamanan dan kenyamanan masyarakat harus tetap menjadi prioritas.,netral,aman nyaman masyarakat prioritas
Tugas utama kepolisian adalah menjaga ketertiban dan melindungi warga.,netral,tugas utama polisi jaga tertib lindung warga
Kritik yang membangun bisa membantu perbaikan sistem yang ada.,netral,kritik bangun bantu baik sistem
"Berurusan sama polisi itu kayak main judi, bisa aman bisa celaka.",fear,urus polisi kayak main judi aman celaka
Takut kalau ternyata nggak ada keadilan buat rakyat biasa.,fear,takut tidak adil rakyat
"Mau rekam kejadian di jalan, tapi takut malah ditangkap.",fear,rekam jadi jalan takut tangkap
"Kalau ada masalah, nggak tahu harus lapor atau kabur aja.",fear,masalah tidak lapor kabur aja
Bahkan sekadar bertanya pun takut dimarahi.,fear,takut marah
Takut kalau ada kejadian terus disuruh ?amai?dengan cara yang nggak bener.,fear,takut jadi suruh amai tidak benar
"Sering dengar cerita serem soal polisi, jadi makin takut.",fear,dengar cerita seram polisi takut
"Kalau ada polisi datang ke lingkungan, bukannya tenang malah panik.",fear,polisi lingkung tenang panik
Takut kalau kena kasus yang bukan salah sendiri.,fear,takut kena bukan salah
"Nggak berani komentar banyak, takut jadi bumerang.",fear,tidak berani komentar takut bumerang
"Banyak kejadian aneh di tahanan, bikin was-was banget.",fear,jadi aneh tahan bikin was banget
"Kalau ditilang, takut malah jadi panjang urusannya.",fear,tilang takut urus
Serem kalau ketemu polisi yang mukanya galak.,fear,seram temu polisi muka galak
"Kalau ada laporan hilang, takut malah disuruh bayar.",fear,lapor hilang takut suruh bayar
"Mau lapor kasus, tapi takut nggak diproses.",fear,lapor takut tidak proses
"Kalau ada operasi polisi di jalan, pasti deg-degan sendiri.",fear,operasi polisi jalan deg degan
"Nggak tahu mana yang bisa dipercaya, jadi takut berurusan.",fear,tidak percaya takut urus
Makin takut kalau lihat berita polisi korupsi.,fear,takut lihat berita polisi korupsi
Takut kalau nanti malah jadi korban salah tangkap.,fear,takut korban salah tangkap
"Kalau ada polisi patroli, perasaan malah nggak tenang.",fear,polisi patroli rasa tidak tenang
"Hukum harusnya melindungi, tapi takutnya malah sebaliknya.",fear,hukum lindung takut
Takut kalau ada aturan baru yang malah memberatkan rakyat.,fear,takut atur berat rakyat
"Jangan sampai ada kejadian di sekitar kita, takut kena imbas.",fear,jangan jadi takut kena imbas
"Kalau lihat polisi ngobrol sama preman, makin bingung harus percaya siapa.",fear,lihat polisi obrol preman bingung percaya
"Serem kalau ada polisi bawa senjata, bukannya merasa aman malah tegang.",fear,seram polisi bawa senjata aman tegang
"Banyak kejadian yang nggak masuk akal, bikin takut sendiri.",fear,jadi tidak masuk akal bikin takut
Nggak ngerti lagi kalau sampai ketemu polisi yang main ancam.,fear,tidak ngerti temu polisi main ancam
Takut kalau ada orang yang salah malah dipaksa ngaku.,fear,takut orang salah paksa ngaku
"Banyak kasus besar tiba-tiba hilang, serem banget sistemnya.",fear,hilang seram banget sistem
"Kalau viral baru diproses, kalau nggak ya dibiarkan, bikin ngeri.",fear,viral proses tidak iya biar bikin ngeri
Mau protes tapi takut ada akibatnya.,fear,protes takut akibat
Takut kalau ketahuan ngerekam kejadian penting.,fear,takut tahu rekam jadi
Kepolisian memiliki peran penting dalam menjaga keamanan dan ketertiban.,netral,polisi milik peran jaga aman tertib
Pelayanan yang cepat dan efisien dapat meningkatkan kepercayaan masyarakat.,netral,layan cepat efisien tingkat percaya masyarakat
Setiap laporan yang masuk harus diproses sesuai prosedur hukum yang berlaku.,netral,lapor masuk proses suai prosedur hukum laku
Koordinasi antara kepolisian dan masyarakat dapat menciptakan lingkungan yang lebih aman.,netral,koordinasi polisi masyarakat cipta lingkung aman
Teknologi dapat membantu meningkatkan efektivitas kinerja kepolisian dalam melayani publik.,netral,teknologi bantu tingkat efektivitas kinerja polisi layan publik
Sosialisasi aturan hukum kepada masyarakat bisa mencegah pelanggaran sejak dini.,netral,sosialisasi atur hukum masyarakat cegah langgar
Evaluasi berkala terhadap kinerja kepolisian penting untuk meningkatkan profesionalisme.,netral,evaluasi kala kinerja polisi tingkat profesionalisme
Penyuluhan keamanan dapat membantu meningkatkan kesadaran hukum di masyarakat.,netral,suluh aman bantu tingkat sadar hukum masyarakat
Penguatan sistem pengawasan internal dapat meningkatkan transparansi kepolisian.,netral,kuat sistem awas internal tingkat transparansi polisi
Pelayanan publik yang optimal harus menjadi prioritas utama kepolisian.,netral,layan publik optimal prioritas utama polisi
Setiap tindakan kepolisian harus sesuai dengan kode etik dan standar prosedur yang berlaku.,netral,tindak polisi suai kode etik standar prosedur laku
Kepolisian yang responsif dapat membantu penyelesaian masalah hukum lebih cepat.,netral,polisi responsif bantu selesai masalah hukum cepat
Kolaborasi dengan berbagai instansi dapat meningkatkan efektivitas penegakan hukum.,netral,kolaborasi instansi tingkat efektivitas tegak hukum
Transparansi dalam proses penanganan kasus dapat mencegah munculnya spekulasi negatif.,netral,transparansi proses tangan cegah muncul spekulasi negatif
Pembinaan berkelanjutan terhadap personel kepolisian diperlukan untuk menjaga profesionalisme.,netral,bina lanjut personel polisi jaga profesionalisme
Kepolisian harus tetap menjalankan tugasnya secara independen tanpa intervensi pihak lain.,netral,polisi jalan tugas independen tanpa intervensi
Pelaporan digital dapat membantu masyarakat mendapatkan akses lebih cepat terhadap layanan kepolisian.,netral,lapor digital bantu masyarakat akses cepat layan polisi
Pelibatan komunitas dalam menjaga keamanan dapat membantu tugas kepolisian.,netral,libat komunitas jaga aman bantu tugas polisi
Keamanan dan ketertiban dapat terjaga dengan sinergi antara kepolisian dan masyarakat.,netral,aman tertib jaga sinergi polisi masyarakat
Kepolisian memiliki tanggung jawab besar dalam menjaga stabilitas sosial dan keamanan nasional.,netral,polisi milik tanggung jaga stabilitas sosial aman nasional
"Kalau nggak viral, nggak bakal diurus! Gila!",anger,tidak viral tidak urus gila
Mau lapor malah dipingpong ke sana-sini! Ngapain ada polisi?,anger,lapor pingpong mengapa polisi
"Lihat polisi, bukannya tenang malah langsung emosi!",anger,lihat polisi tenang langsung emosi
Hukum di negeri ini cuma untuk rakyat kecil!,anger,hukum negeri rakyat
"Yang punya duit aman, yang nggak punya jadi korban!",anger,duit aman tidak korban
Mereka kerja buat rakyat atau buat bos-bosnya doang?,anger,kerja rakyat bos bos doang
Capek lihat drama hukum di negara ini!,anger,capek lihat drama hukum negara
Tiap hari ada aja berita soal polisi bermasalah!,anger,aja berita polisi masalah
"Kalau rakyat yang salah langsung ditindak, kalau mereka? Bebas!",anger,rakyat salah langsung tindak bebas
"Udah rusak sistemnya, nggak bakal bisa dipercaya lagi!",anger,udah rusak sistem tidak percaya
Bosan lihat mereka sok bener di depan kamera!,anger,bosan lihat sok benar kamera
"Nyebelin banget kalau ada kasus gede, ujung-ujungnya hilang!",anger,sebel banget gede ujung ujung hilang
Kenapa sih mereka nggak malu sama seragamnya sendiri?,anger,sih tidak malu ragam
Mending mereka belajar dulu arti kata 'adil'!,anger,mending ajar arti adil
"Yang korup bebas, yang jujur malah dipersulit!",anger,korup bebas jujur sulit
"Kalau nggak ada uang atau koneksi, jangan harap dapat keadilan!",anger,tidak uang koneksi jangan harap adil
"Kasus kelar bukan karena kerja keras polisi, tapi karena rakyat marah!",anger,kelar bukan kerja keras polisi rakyat marah
Makin nggak ada rasa hormat sama mereka!,anger,tidak hormat
"Heran, kerjaannya ngurusin rakyat kecil doang!",anger,heran kerja urus rakyat doang
Jangan sok suci kalau kelakuan masih kayak preman!,anger,jangan sok suci laku kayak preman
Nggak ada perubahan! Masalahnya itu-itu aja tiap tahun!,anger,tidak ubah aja
"Seragam bukan buat gaya-gayaan, tapi buat kerja bener!",anger,ragam bukan gaya gaya kerja benar
"Hukum tajam ke bawah, tumpul ke atas! Udah muak denger itu terus!",anger,hukum tajam tumpul udah muak dengar
Bisa nggak sih kerja pakai hati nurani?,anger,tidak sih kerja pakai hati nurani
"Orang bayar pajak buat gaji mereka, tapi kerjaannya bikin rakyat sengsara!",anger,orang bayar pajak gaji kerja bikin rakyat sengsara
Rakyat yang benar malah dianggap musuh!,anger,rakyat anggap musuh
"Kalau kerja cuma buat kepentingan sendiri, mending mundur aja!",anger,kerja penting mending mundur aja
"Kesel banget! Bukannya menangkap yang salah, malah main gertak rakyat!",anger,kesel banget tangkap salah main gertak rakyat
Susah banget cari polisi yang benar-benar jujur!,anger,susah banget cari polisi jujur
Apa susahnya kerja bener tanpa nyari untung pribadi?,anger,susah kerja benar tanpa sari untung pribadi
Sistemnya emang udah bobrok dari atas sampai bawah!,anger,sistem emang udah bobrok
Polisi macam apa yang malah lindungi kriminal?,anger,polisi lindung kriminal
Nggak malu sama sumpah jabatan sendiri?,anger,tidak malu sumpah jabat
"Janji tinggal janji, prakteknya nol besar!",anger,janji tinggal janji praktek nol
"Kalau nggak ada rakyat, kalian bukan siapa-siapa! Jangan sok berkuasa!",anger,tidak rakyat bukan jangan sok kuasa
Udah bosen denger alasan klasik mereka!,anger,udah bosan dengar alas klasik
Gaji gede tapi kelakuan nggak ada yang bisa dibanggain!,anger,gaji gede laku tidak bangga
"Mau percaya, tapi tiap hari selalu ada kasus baru!",anger,percaya
"Kalau udah ketahuan salah, ngelesnya lebih jago dari atlet lari!",anger,udah tahu salah les jago atlet lari
Buat apa punya polisi kalau rakyat tetap harus berjuang sendiri?,anger,polisi rakyat juang
Bener-bener bikin naik darah kalau denger kasus baru tiap hari!,anger,benar bikin darah dengar
"Harusnya mereka jaga nama baik institusi, bukan malah bikin malu!",anger,jaga nama institusi bukan bikin malu
"Seragam mereka harusnya jadi simbol keadilan, bukan simbol ketakutan!",anger,ragam simbol adil bukan simbol takut
Nggak ada yang berubah! Tiap tahun sama aja bobroknya!,anger,tidak ubah aja bobrok
Rakyat udah muak dipermainkan kayak begini terus!,anger,rakyat udah muak main kayak
"Seriusan, kerja kalian tuh buat rakyat, bukan buat nyari untung sendiri!",anger,serius kerja itu rakyat bukan sari untung
"Kalau nggak bisa kasih keadilan, ya mundur aja! Jangan sok berkuasa!",anger,tidak kasih adil iya mundur aja jangan sok kuasa
Kenapa sih selalu ada alasan kalau disuruh kerja bener? Bukannya itu tugas kalian?,anger,sih alas suruh kerja benar tugas
"Udah tau salah, masih aja sok bener! Gimana rakyat mau percaya?",anger,udah tau salah aja sok benar gimana rakyat percaya
Mereka kerja buat siapa sih? Kok yang benar malah ditekan?,anger,kerja sih dite
"Jangan heran kalau rakyat kehilangan kepercayaan, kelakuan kalian sendiri yang bikin!",anger,jangan heran rakyat hilang percaya laku bikin
"Hukum di negeri ini lebih mirip dagangan, siapa yang bayar lebih, dia yang menang!",anger,hukum negeri dagang bayar menang
"Kalau ada kasus besar, pasti ada aja yang tiba-tiba ?ilang jejak? udah capek liat dramanya!",anger,aja ilang jejak udah capek liat drama
"Jangan cuma garang kalau ngurusin rakyat kecil, berani nggak lawan yang di atas?",anger,jangan garang urus rakyat berani tidak lawan
"Bukan cuma sekali dua kali, tapi tiap hari ada aja kasus yang bikin naik darah!",anger,bukan kali aja bikin darah
"Kenapa kalau rakyat yang salah langsung dihukum, tapi kalau oknum polisi yang salah malah dilindungi?",anger,rakyat salah langsung hukum oknum polisi salah lindung
"Lapor kehilangan malah dipersulit, padahal itu kerjaan mereka!",anger,lapor hilang sulit kerja
"Aneh, kalau ada orang kaya yang kena kasus, tiba-tiba hukum bisa lunak banget!",anger,aneh orang kaya kena hukum lunak banget
"Mereka sok paling benar, tapi kerjaannya malah banyak merugikan rakyat!",anger,sok kerja rugi rakyat
"Setiap ada kasus besar, rakyat selalu dibiarkan menunggu keadilan yang nggak pernah datang!",anger,rakyat biar tunggu adil tidak
"Kerja kalian tuh harusnya ngelindungin rakyat, bukan malah nambahin masalah!",anger,kerja itu lindung rakyat bukan tambah masalah
"Jangan mentang-mentang berseragam, jadi merasa bisa ngatur segalanya seenaknya!",anger,jangan mentang seragam atur
"Dulu percaya sama hukum, sekarang cuma bisa pasrah karena sistemnya udah rusak!",anger,percaya hukum pasrah sistem udah rusak
Percuma ada hukum kalau ujung-ujungnya bisa dibeli sama yang punya duit!,anger,hukum ujung ujung beli duit
"Bukannya bantu rakyat, malah bikin ribet setiap ada masalah!",anger,bantu rakyat bikin ribat masalah
"Mereka seharusnya jadi harapan, tapi justru bikin ketakutan!",anger,harap bikin takut
Lihat berita soal mereka tiap hari bikin makin hilang harapan sama keadilan!,anger,lihat berita bikin hilang harap adil
"Beneran deh, kalau nggak viral dulu, polisi nggak bakal peduli sama kasus rakyat kecil!",anger,benar tidak viral polisi tidak peduli rakyat
"Sumpah jabatan mereka cuma formalitas doang, buktinya kelakuan tetap seenaknya!",anger,sumpah jabat formalitas doang bukti laku
"Harusnya yang berseragam itu bikin tenang, bukan malah bikin curiga!",anger,seragam bikin tenang bukan bikin curiga
"Seragam bukan buat gaya-gayaan, tapi buat benerin sistem hukum yang udah bobrok ini!",anger,ragam bukan gaya gaya benar sistem hukum udah bobrok
"Paling jago kalau urusan ngasih alasan, tapi kalau kerja bener malah nggak kelihatan!",anger,jago urus asih alas kerja benar tidak
"Setiap ada kasus gede, ujung-ujungnya rakyat disuruh ?abar? tapi nggak ada hasilnya!",anger,gede ujung ujung rakyat suruh abar tidak hasil
"Banyak yang berbuat salah, tapi hanya beberapa yang kena hukuman! Keadilan apa ini?",anger,buat salah kena hukum adil
"Kalau kasusnya melibatkan pejabat, pasti deh tiba-tiba jadi lambat prosesnya!",anger,kasus libat jabat lambat proses
"Sumpah, heran banget! Gimana sih bisa mereka tetap santai setelah bikin rakyat sengsara?",anger,sumpah heran banget gimana sih santai bikin rakyat sengsara
"Kalau rakyat melawan, dibilang melanggar hukum. Kalau mereka yang melanggar, cuma dikasih sanksi ringan!",anger,rakyat lawan bilang langgar hukum langgar kasih sanksi ringan
"Bilangnya mau reformasi, tapi nyatanya masih bobrok juga!",anger,bilang reformasi bobrok
"Kalau lapor kasus malah disuruh ?amai?aja, jadi buat apa ada polisi?",anger,lapor suruh amai aja polisi
"Kenapa setiap ada kasus, pasti ada drama ?ilangnya barang bukti?atau ?ersangka kabur?",anger,drama ilangnya barang bukti ersangka kabur
Susah percaya sama sistem hukum kalau yang jalankan aja nggak bisa bersikap adil!,anger,susah percaya sistem hukum jalan aja tidak sikap adil
"Makin lama, makin kelihatan kalau hukum di negeri ini cuma buat mereka yang berduit!",anger,hukum negeri duit
Apa mereka nggak malu tiap hari ada berita buruk tentang kepolisian?,anger,tidak malu berita buruk polisi
Sebenarnya tugas mereka apa sih? Karena yang mereka lakukan nggak sesuai sama yang diharapkan rakyat!,anger,tugas sih laku tidak suai harap rakyat
"Lihat seragam mereka sekarang malah bikin marah, bukan bangga!",anger,lihat ragam bikin marah bukan bangga
"Setiap ada rakyat yang cari keadilan, malah mereka yang ditekan! Gila sih ini!",anger,rakyat cari adil dite gila sih
"Kalau mau dihormati, kerja yang bener! Jangan cuma modal seragam!",anger,hormat kerja benar jangan modal ragam
"Gaji dari pajak rakyat, tapi malah ngerugiin rakyat! Ironis banget!",anger,gaji pajak rakyat rugi rakyat ironis banget
Nggak ada harapan sama hukum kalau aparatnya masih banyak yang main belakang!,anger,tidak harap hukum aparat main
"Dunia hukum di sini kayak panggung sandiwara, yang jago akting pasti menang!",anger,dunia hukum kayak panggung sandiwara jago akting menang
"Kalau rakyat yang salah langsung diadili, tapi kalau mereka sendiri yang salah, prosesnya kayak keong!",anger,rakyat salah langsung adil salah proses kayak keong
"Jangan cuma pencitraan di media, rakyat butuh bukti nyata!",anger,jangan citra media rakyat butuh bukti nyata
Mereka yang harusnya jadi contoh malah jadi yang paling buruk kelakuannya!,anger,contoh buruk laku
"Setiap kasus yang nggak kunjung selesai, makin membuktikan kalau sistemnya udah gagal total!",anger,tidak kunjung selesai bukti sistem udah gagal total
"Kalau ada polisi yang benar-benar jujur, kasihan banget mereka harus kerja di sistem kayak gini!",trust,polisi jujur kasihan banget kerja sistem kayak begini
saya masih percaya dengan polisi indonesia,trust,percaya polisi indonesia
saya yakin masih ada pak polisi yang baik dan jujur,trust,polisi jujur
masyarakat percaya kalian bisa melindungi kami pak,trust,masyarakat percaya lindung
semangat pak polisi kami percaya dengan kalian bisa melindungi kami,trust,semangat polisi percaya lindung
lindungi kami selalu pak,trust,lindung
Marah banget lihat kasus ini nggak kelar-kelar!,anger,marah banget lihat tidak kelar
brengsek hukum di negeri ini Cuma buat yang punya uang,anger,brengsek hukum negeri uang
kesal lihat oknum bebas tanpa hukuman,anger,kesal lihat oknum bebas tanpa hukum
jengkel tiap kali lihat berita tentang mereka,anger,jengkel kali lihat berita
benci banget sama sistem yang tidak adil,anger,benci banget sistem tidak adil
muak dengan janji palsu polisi tanpa bukti,anger,muak janji palsu polisi tanpa bukti
geram lihat yang salah malah dilindungi,anger,geram lihat salah lindung
emosi setiap kali dengan polisi beralasan,anger,emosi kali polisi alas
dendam rasanya kalau polisi tidak adil,anger,dendam polisi tidak adil
makin naik darah lihat kelakuan polisi,anger,darah lihat laku polisi
marah karena keadilan Cuma ilusi di negeri ini,anger,marah adil ilusi negeri
brengsek rakyat kecil selalu jadi korban,anger,brengsek rakyat korban
kesal lihat kasus yang tiba-tiba hilang,anger,kesal lihat hilang
jengkel banget kalau polisi diam saja,anger,jengkel banget polisi diam
benci banget sama ketidakadilan yang dibiarkan terus terjadi,anger,benci banget tidakadil biar
geram lihat yang benar malah ditekan,anger,geram lihat dite
emosi banget kalau kasus besar tiba-tiba senyap,anger,emosi banget senyap
dendam rasanya lihat polisi berindak semena-mena,anger,dendam lihat polisi indak semena pena
marah sampai tidak bisa berkata-kata,anger,marah tidak
kesal lihat rakyat kecil dipersulit,anger,kesal lihat rakyat sulit
brengsek kapan hukum bisa benar-benar adil,anger,brengsek hukum adil
benci banget sama sistem hukum yang bobrok,anger,benci banget sistem hukum bobrok
muak dengan pencitraan tanpa aksi nyata,anger,muak citra tanpa aksi nyata
geram lihat aparat yang hanya memikirkan diri sendiri,anger,geram lihat aparat pikir
